size: 128, time: 0.125788 s, speed: 0.033344 GFlops
size: 3876, time: 0.512730 s, speed: 227.139397 GFlops
size: 3880, time: 0.506212 s, speed: 230.777115 GFlops
size: 3884, time: 0.507386 s, speed: 230.955977 GFlops
size: 3888, time: 0.498176 s, speed: 235.953316 GFlops
size: 3892, time: 0.526136 s, speed: 224.104479 GFlops
size: 3896, time: 0.515829 s, speed: 229.287941 GFlops
size: 3900, time: 0.524152 s, speed: 226.342826 GFlops
size: 3904, time: 0.507228 s, speed: 234.615279 GFlops
size: 3908, time: 0.519845 s, speed: 229.625324 GFlops
size: 3912, time: 0.520623 s, speed: 229.986958 GFlops
size: 3916, time: 0.520149 s, speed: 230.903376 GFlops
size: 3920, time: 0.518473 s, speed: 232.360406 GFlops
size: 3924, time: 0.523735 s, speed: 230.730685 GFlops
size: 3928, time: 0.517020 s, speed: 234.442908 GFlops
size: 3932, time: 0.530856 s, speed: 229.030794 GFlops
size: 3936, time: 0.517848 s, speed: 235.501105 GFlops
size: 3940, time: 0.537783 s, speed: 227.463473 GFlops
size: 3944, time: 0.535573 s, speed: 229.098389 GFlops
size: 3948, time: 0.538054 s, speed: 228.736553 GFlops
size: 3952, time: 0.524070 s, speed: 235.554542 GFlops
size: 3956, time: 0.545153 s, speed: 227.133146 GFlops
size: 3960, time: 0.535565 s, speed: 231.901441 GFlops
size: 3964, time: 0.537927 s, speed: 231.583423 GFlops
size: 3968, time: 0.528735 s, speed: 236.323544 GFlops
size: 3972, time: 0.545552 s, speed: 229.732030 GFlops
size: 3976, time: 0.544084 s, speed: 231.048477 GFlops
size: 3980, time: 0.542350 s, speed: 232.487558 GFlops
size: 3984, time: 0.543428 s, speed: 232.726596 GFlops
size: 3988, time: 0.545935 s, speed: 232.356264 GFlops
size: 3992, time: 0.541754 s, speed: 234.854811 GFlops
size: 3996, time: 0.556748 s, speed: 229.217534 GFlops
size: 4000, time: 0.539044 s, speed: 237.457467 GFlops
size: 4004, time: 0.557107 s, speed: 230.448353 GFlops
size: 4008, time: 0.550336 s, speed: 233.983538 GFlops
size: 4012, time: 0.555828 s, speed: 232.365935 GFlops
size: 4016, time: 0.553445 s, speed: 234.065145 GFlops
size: 4020, time: 0.559170 s, speed: 232.361561 GFlops
size: 4024, time: 0.538514 s, speed: 241.995228 GFlops
size: 4028, time: 0.565696 s, speed: 231.054948 GFlops
size: 4032, time: 0.551869 s, speed: 237.550327 GFlops
size: 4036, time: 0.574663 s, speed: 228.807423 GFlops
size: 4040, time: 0.565215 s, speed: 233.324491 GFlops
size: 4044, time: 0.562195 s, speed: 235.275340 GFlops
size: 4048, time: 0.549357 s, speed: 241.488745 GFlops
size: 4052, time: 0.571677 s, speed: 232.748885 GFlops
size: 4056, time: 0.570999 s, speed: 233.716061 GFlops
size: 4060, time: 0.579393 s, speed: 231.012202 GFlops
size: 4064, time: 0.568474 s, speed: 236.145920 GFlops
size: 4068, time: 0.581827 s, speed: 231.408343 GFlops
size: 4072, time: 0.564966 s, speed: 239.018226 GFlops
size: 4076, time: 0.834187 s, speed: 162.356279 GFlops
size: 4080, time: 0.570110 s, speed: 238.260343 GFlops
size: 4084, time: 0.582374 s, speed: 233.929583 GFlops
size: 4088, time: 0.591297 s, speed: 231.077080 GFlops
size: 4092, time: 0.578612 s, speed: 236.836997 GFlops
size: 4096, time: 0.610891 s, speed: 224.981102 GFlops
